,bucket_en_entier,bucket,ID,Sex,Good sex prediction,age,Age predicted
39015,7,"(45, 65]",39016.0,1.0,1.0,59.0,1.0
38299,6,"(40, 45]",38300.0,0.0,0.0,41.0,1.0
30444,3,"(25, 30]",30445.0,0.0,0.0,26.0,1.0
26765,5,"(35, 40]",26766.0,0.0,0.0,36.0,1.0
3264,4,"(30, 35]",3265.0,1.0,1.0,31.0,3.0
32099,5,"(35, 40]",32100.0,0.0,1.0,40.0,2.0
23291,2,"(20, 25]",23292.0,1.0,1.0,25.0,2.0
7899,7,"(45, 65]",7900.0,0.0,0.0,53.0,1.0
29625,7,"(45, 65]",29626.0,1.0,1.0,65.0,1.0
36915,4,"(30, 35]",36916.0,0.0,0.0,32.0,1.0
32649,5,"(35, 40]",32650.0,1.0,1.0,37.0,3.0
34469,6,"(40, 45]",34470.0,0.0,0.0,42.0,1.0
32965,5,"(35, 40]",32966.0,1.0,1.0,39.0,3.0
1884,7,"(45, 65]",1885.0,1.0,0.0,57.0,3.0
36472,7,"(45, 65]",36473.0,0.0,1.0,48.0,2.0
24097,3,"(25, 30]",24098.0,1.0,1.0,26.0,3.0
10095,7,"(45, 65]",10096.0,0.0,0.0,55.0,1.0
38253,6,"(40, 45]",38254.0,0.0,0.0,45.0,3.0
29654,9,"(70, 150]",29655.0,1.0,1.0,73.0,1.0
11774,5,"(35, 40]",11775.0,0.0,0.0,37.0,2.0
27627,3,"(25, 30]",27628.0,0.0,0.0,26.0,1.0
15926,3,"(25, 30]",15927.0,1.0,1.0,28.0,3.0
20666,7,"(45, 65]",20667.0,1.0,1.0,57.0,2.0
17834,7,"(45, 65]",17835.0,0.0,0.0,58.0,1.0
35023,3,"(25, 30]",35024.0,0.0,0.0,26.0,1.0
11823,7,"(45, 65]",11824.0,1.0,1.0,54.0,1.0
864,7,"(45, 65]",865.0,0.0,1.0,49.0,3.0
32852,9,"(70, 150]",32853.0,1.0,1.0,71.0,1.0
30422,7,"(45, 65]",30423.0,0.0,0.0,47.0,1.0
2761,5,"(35, 40]",2762.0,1.0,1.0,37.0,1.0
29739,9,"(70, 150]",29740.0,1.0,0.0,76.0,1.0
36890,7,"(45, 65]",36891.0,0.0,0.0,57.0,1.0
849,7,"(45, 65]",850.0,0.0,0.0,54.0,1.0
35741,3,"(25, 30]",35742.0,0.0,0.0,26.0,1.0
27863,7,"(45, 65]",27864.0,0.0,0.0,47.0,2.0
28323,3,"(25, 30]",28324.0,0.0,0.0,29.0,1.0
19118,6,"(40, 45]",19119.0,0.0,1.0,41.0,3.0
31472,7,"(45, 65]",31473.0,1.0,1.0,48.0,3.0
2245,4,"(30, 35]",2246.0,1.0,0.0,35.0,2.0
2949,7,"(45, 65]",2950.0,0.0,1.0,49.0,3.0
13028,7,"(45, 65]",13029.0,0.0,0.0,59.0,3.0
11723,7,"(45, 65]",11724.0,0.0,1.0,47.0,1.0
5240,3,"(25, 30]",5241.0,0.0,1.0,29.0,2.0
2328,6,"(40, 45]",2329.0,0.0,1.0,43.0,3.0
20525,6,"(40, 45]",20526.0,1.0,1.0,44.0,2.0
17926,2,"(20, 25]",17927.0,1.0,1.0,23.0,1.0
33464,7,"(45, 65]",33465.0,0.0,0.0,65.0,1.0
25752,4,"(30, 35]",25753.0,0.0,1.0,35.0,1.0
6513,6,"(40, 45]",6514.0,1.0,1.0,45.0,2.0
3609,2,"(20, 25]",3610.0,0.0,1.0,25.0,3.0
35044,5,"(35, 40]",35045.0,1.0,1.0,37.0,1.0
17593,7,"(45, 65]",17594.0,1.0,1.0,49.0,3.0
26840,7,"(45, 65]",26841.0,0.0,1.0,58.0,1.0
22798,7,"(45, 65]",22799.0,1.0,1.0,58.0,1.0
21922,5,"(35, 40]",21923.0,0.0,1.0,37.0,2.0
3424,7,"(45, 65]",3425.0,1.0,1.0,49.0,1.0
14041,7,"(45, 65]",14042.0,1.0,1.0,56.0,3.0
23396,7,"(45, 65]",23397.0,1.0,1.0,60.0,1.0
7025,7,"(45, 65]",7026.0,0.0,0.0,59.0,1.0
20377,3,"(25, 30]",20378.0,0.0,1.0,28.0,1.0
30209,1,"(18, 20]",30210.0,1.0,1.0,19.0,1.0
22629,3,"(25, 30]",22630.0,0.0,1.0,27.0,2.0
15399,7,"(45, 65]",15400.0,0.0,1.0,54.0,1.0
18380,6,"(40, 45]",18381.0,0.0,0.0,44.0,1.0
37738,5,"(35, 40]",37739.0,1.0,1.0,37.0,1.0
14822,2,"(20, 25]",14823.0,0.0,0.0,25.0,1.0
14001,7,"(45, 65]",14002.0,0.0,0.0,55.0,1.0
16902,4,"(30, 35]",16903.0,0.0,1.0,31.0,1.0
31230,3,"(25, 30]",31231.0,1.0,1.0,30.0,1.0
17681,7,"(45, 65]",17682.0,1.0,1.0,50.0,1.0
23457,3,"(25, 30]",23458.0,1.0,1.0,27.0,1.0
10879,6,"(40, 45]",10880.0,0.0,1.0,45.0,3.0
16686,4,"(30, 35]",16687.0,1.0,1.0,34.0,1.0
3747,5,"(35, 40]",3748.0,0.0,1.0,39.0,3.0
